Id,Sales
1,1233.7727
2,2261.3071
3,2257.9473
4,2132.5781
5,1632.4005
6,1351.3145
7,2011.1326
8,1999.01
9,1501.9224
10,1705.5675
11,1769.8301
12,1961.0186
13,1987.6178
14,2063.0315
15,1585.8999
16,1486.7959
17,1546.8016
18,2436.739
19,2765.1465
20,2532.8494
21,1757.0298
22,1001.447
23,1452.9512
24,1425.202
25,1860.9498
26,2482.0474
27,1920.9736
28,1426.549
29,1751.3594
30,1147.8063
31,1368.3037
32,2588.7012
33,2078.6174
34,1351.1184
35,1543.4469
36,1962.258
37,1187.435
38,1801.618
39,1184.8536
40,1613.9033
41,1308.3776
42,1550.4825
43,1630.971
44,1578.5438
45,1112.2682
46,1790.029
47,1602.449
48,2468.3333
49,1500.8201
50,2346.8552
51,1400.6309
52,2425.3796
53,1638.8164
54,2500.27
55,1652.4404
56,1466.8182
57,1784.2515
58,1386.668
59,2075.2222
60,1761.0122
61,1602.4552
62,1640.4119
63,1461.3547
64,2842.4133
65,1143.4373
66,3222.9873
67,1426.6146
68,1623.7714
69,2058.7363
70,1464.5276
71,1402.1907
72,2149.7837
73,2021.367
74,1426.8402
75,1344.3916
76,1837.4237
77,1876.2499
78,2045.4856
79,1461.1184
80,1541.8204
81,2206.4236
82,1595.3016
83,1243.2308
84,1751.4165
85,1327.4435
86,1591.6748
87,1492.1918
88,1350.5598
89,1739.9666
90,1519.0382
91,1980.5287
92,1156.7429
93,1287.6156
94,1225.313
95,1425.3096
96,1782.2622
97,2283.2903
98,1315.9276
99,1304.2554
100,1536.4601
101,1489.7426
102,1599.2866
103,2167.4932
104,1999.3412
105,1930.6549
106,1560.7627
107,1352.5641
108,1873.0713
109,2107.8745
110,2308.7827
111,1955.8595
112,1864.493
113,1707.2548
114,2019.0077
115,1981.0045
116,2391.0266
117,1935.5417
118,1605.8712
119,2400.097
120,1656.2994
121,2034.8258
122,1653.4106
123,1740.5127
124,1991.3159
125,1965.1735
126,1298.0984
127,1195.4324
128,2301.8235
129,1231.2366
130,1295.5177
131,2365.7349
132,1616.52
133,1349.3314
134,1343.7893
135,1677.4636
136,1805.0972
137,1624.151
138,2351.2073
139,1366.7563
140,1483.1323
141,1721.2526
142,1093.0011
143,1765.2197
144,1331.5948
145,2088.1877
146,1900.413
147,1221.3848
148,1728.6837
149,1596.0392
150,1254.096
151,2384.5532
152,1912.4077
153,1989.0374
154,1811.3807
155,1433.433
156,1417.3975
157,1449.7598
158,1977.9792
159,3492.893
160,1133.1642
161,1043.345
162,1340.4904
163,2199.306
164,2013.6194
165,1717.9901
166,1899.4934
167,1223.835
168,1783.6663
169,1097.3098
170,1544.8921
171,1517.6072
172,1584.973
173,1878.4606
174,1786.9408
175,1841.1846
176,2388.8267
177,1848.3201
178,1356.3413
179,2087.6333
180,2982.2178
181,1808.4504
182,2062.8198
183,1360.4061
184,1563.5267
185,1435.0192
186,1930.5243
187,1501.2761
188,1839.142
189,1695.4877
190,2094.1292
191,1925.0588
192,1383.7864
193,2201.5662
194,2834.9539
195,2878.5085
196,1815.3887
197,961.58795
198,1576.5614
